,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY,CANCELLED
38,2015,1,1,4,NK,LAS,OAK,22.0,407,10.0,0
39,2015,1,1,4,WN,MDW,PHX,1.0,1444,5.0,0
40,2015,1,1,4,OO,DTW,APN,59.0,198,42.0,0
41,2015,1,1,4,WN,MDW,SDF,-1.0,271,-8.0,0
42,2015,1,1,4,EV,GPT,IAH,-6.0,376,0.0,0
43,2015,1,1,4,NK,LAS,DTW,-1.0,1749,-7.0,0
44,2015,1,1,4,WN,BUR,SMF,2.0,358,0.0,0
45,2015,1,1,4,WN,CAK,MCO,-5.0,861,-14.0,0
46,2015,1,1,4,WN,MDW,LAX,-7.0,1750,-1.0,0
47,2015,1,1,4,B6,LGB,LAS,-5.0,231,-1.0,0
48,2015,1,1,4,B6,STT,SJU,-13.0,68,9.0,0
49,2015,1,1,4,DL,MSP,GRR,-3.0,408,-14.0,0
50,2015,1,1,4,OO,SMF,SFO,77.0,86,117.0,0
51,2015,1,1,4,WN,LAX,SFO,7.0,337,-5.0,0
52,2015,1,1,4,MQ,ATL,ORD,4.0,606,5.0,0
53,2015,1,1,4,WN,STL,SFO,6.0,1735,-21.0,0
54,2015,1,1,4,DL,ATL,RSW,-1.0,515,-13.0,0
55,2015,1,1,4,B6,DCA,BOS,-4.0,399,-10.0,0
56,2015,1,1,4,DL,HNL,SEA,-4.0,2677,-10.0,0
57,2015,1,1,4,DL,BZN,ATL,1.0,1640,-14.0,0
58,2015,1,1,4,NK,MYR,LGA,7.0,563,18.0,0
59,2015,1,1,4,WN,MDW,FLL,17.0,1166,8.0,0
60,2015,1,1,4,WN,LAX,OAK,2.0,337,3.0,0
61,2015,1,1,4,OO,LAX,ASE,4.0,737,54.0,0
62,2015,1,1,4,AA,DFW,LAX,7.0,1235,-11.0,0
63,2015,1,1,4,WN,SDF,MCO,-6.0,719,-3.0,0
64,2015,1,1,4,WN,BNA,BWI,1.0,587,-3.0,0
65,2015,1,1,4,US,PHX,LAS,-2.0,255,10.0,0
66,2015,1,1,4,WN,MEM,MDW,-4.0,480,-17.0,0
67,2015,1,1,4,UA,IAD,LAX,3.0,2288,-1.0,0
68,2015,1,1,4,EV,IAH,MFE,-2.0,316,1.0,0
69,2015,1,1,4,EV,ORD,SBN,33.0,84,17.0,0
70,2015,1,1,4,UA,ORD,IAH,8.0,925,3.0,0
71,2015,1,1,4,US,JAX,CLT,-7.0,328,-12.0,0
72,2015,1,1,4,MQ,EVV,DFW,191.0,642,204.0,0
73,2015,1,1,4,UA,IAH,MSY,24.0,305,9.0,0
74,2015,1,1,4,WN,ABQ,DAL,20.0,580,19.0,0
75,2015,1,1,4,EV,IAH,XNA,-2.0,438,-11.0,0
76,2015,1,1,4,F9,DEN,AUS,38.0,775,63.0,0
77,2015,1,1,4,MQ,ABI,DFW,,158,,1
78,2015,1,1,4,DL,MSP,OMA,0.0,282,-15.0,0
79,2015,1,1,4,OO,MSP,MDW,8.0,349,-6.0,0
80,2015,1,1,4,AA,AUS,DFW,19.0,190,16.0,0
81,2015,1,1,4,B6,RDU,BOS,-7.0,612,-11.0,0
82,2015,1,1,4,OO,SLC,BTM,-3.0,358,-4.0,0
83,2015,1,1,4,WN,PDX,OAK,4.0,543,-1.0,0
84,2015,1,1,4,AA,DFW,SLC,190.0,989,181.0,0
85,2015,1,1,4,EV,ATL,MGM,-5.0,147,-12.0,0
86,2015,1,1,4,OO,MKE,ORD,-18.0,67,-30.0,0
87,2015,1,1,4,DL,ATL,PNS,-5.0,271,-12.0,0
88,2015,1,1,4,UA,DEN,IAH,2.0,862,37.0,0
89,2015,1,1,4,WN,MDW,TUL,13.0,583,15.0,0
90,2015,1,1,4,DL,MIA,ATL,-1.0,594,-12.0,0
91,2015,1,1,4,AA,SNA,DFW,-2.0,1205,-3.0,0
92,2015,1,1,4,UA,EWR,FLL,-3.0,1065,-30.0,0
93,2015,1,1,4,HA,HNL,OGG,3.0,100,2.0,0
94,2015,1,1,4,WN,MDW,DAL,-3.0,793,-5.0,0
95,2015,1,1,4,WN,BWI,BNA,5.0,587,13.0,0
96,2015,1,1,4,AA,MIA,STT,43.0,1107,31.0,0
97,2015,1,1,4,US,MIA,IAH,-7.0,964,-7.0,0
98,2015,1,1,4,AA,LAX,HNL,-4.0,2556,-15.0,0
99,2015,1,1,4,AA,MIA,LGA,-6.0,1096,-16.0,0
100,2015,1,1,4,OO,AUS,IAH,0.0,140,4.0,0
101,2015,1,1,4,US,BDL,CLT,-4.0,644,-6.0,0
102,2015,1,1,4,US,MIA,PHL,-3.0,1013,-1.0,0
103,2015,1,1,4,AS,SEA,BUR,-5.0,937,-3.0,0
104,2015,1,1,4,WN,MCO,BNA,-7.0,616,-17.0,0
105,2015,1,1,4,OO,LAX,ABQ,-4.0,677,6.0,0
106,2015,1,1,4,WN,DAL,AUS,29.0,189,34.0,0
107,2015,1,1,4,NK,MCO,DFW,-14.0,985,-23.0,0
108,2015,1,1,4,DL,MCO,MEM,-10.0,684,-12.0,0
109,2015,1,1,4,WN,HOU,BNA,23.0,670,13.0,0
110,2015,1,1,4,F9,DEN,STL,35.0,770,67.0,0
111,2015,1,1,4,MQ,DFW,MSN,26.0,821,10.0,0
112,2015,1,1,4,NK,FLL,ACY,-4.0,977,-2.0,0
113,2015,1,1,4,DL,ATL,SYR,-5.0,794,-14.0,0
114,2015,1,1,4,WN,OAK,ONT,32.0,362,31.0,0
115,2015,1,1,4,OO,PHX,SBP,-5.0,509,-6.0,0
116,2015,1,1,4,MQ,ORD,CVG,1.0,265,-5.0,0
117,2015,1,1,4,F9,CVG,PHX,-6.0,1569,14.0,0
118,2015,1,1,4,WN,MDW,DSM,-1.0,306,-3.0,0
119,2015,1,1,4,F9,DEN,SLC,183.0,391,173.0,0
120,2015,1,1,4,UA,SAN,IAD,24.0,2253,10.0,0
121,2015,1,1,4,UA,SFO,MCO,0.0,2446,45.0,0
122,2015,1,1,4,US,PHX,MCO,-7.0,1849,1.0,0
123,2015,1,1,4,DL,SEA,ATL,-6.0,2182,7.0,0
124,2015,1,2,5,UA,PDX,SFO,42.0,550,25.0,0
125,2015,1,2,5,EV,ATL,IAD,6.0,534,7.0,0
126,2015,1,2,5,WN,MDW,PHX,0.0,1444,-4.0,0
127,2015,1,2,5,WN,BOS,STL,1.0,1047,22.0,0
128,2015,1,2,5,HA,HNL,OGG,-9.0,100,-9.0,0
129,2015,1,2,5,MQ,MEM,ORD,-4.0,491,12.0,0
130,2015,1,2,5,WN,OKC,ATL,3.0,761,-15.0,0
131,2015,1,2,5,AA,BHM,DFW,-12.0,597,4.0,0
132,2015,1,2,5,EV,OKC,ORD,-5.0,693,0.0,0
133,2015,1,2,5,EV,BOS,RIC,-4.0,474,12.0,0
134,2015,1,2,5,WN,SAT,LAS,-5.0,1069,-25.0,0
135,2015,1,2,5,DL,CMH,ATL,-6.0,447,-7.0,0
136,2015,1,2,5,UA,EWR,PBI,-3.0,1023,6.0,0
137,2015,1,2,5,UA,PHX,IAD,46.0,1956,20.0,0
138,2015,1,2,5,WN,PHX,STL,20.0,1262,12.0,0
139,2015,1,2,5,B6,TPA,DCA,-8.0,814,-10.0,0
140,2015,1,2,5,WN,LAX,DAL,15.0,1246,27.0,0
141,2015,1,2,5,OO,ORD,ALB,6.0,723,6.0,0
142,2015,1,2,5,UA,ORD,LAS,2.0,1514,-9.0,0
143,2015,1,2,5,OO,SLC,LGB,-8.0,588,-15.0,0
144,2015,1,2,5,DL,SLC,LAX,0.0,590,30.0,0
145,2015,1,2,5,WN,SEA,DEN,-1.0,1024,-9.0,0
146,2015,1,2,5,WN,HOU,SAN,24.0,1313,2.0,0
147,2015,1,2,5,WN,OAK,BOI,26.0,511,22.0,0
148,2015,1,2,5,OO,TUS,DEN,-15.0,639,5.0,0
149,2015,1,2,5,US,PHL,IAH,-4.0,1325,8.0,0
150,2015,1,2,5,US,CLT,CLE,11.0,430,12.0,0
151,2015,1,2,5,EV,ATL,IAD,1.0,534,-17.0,0
152,2015,1,2,5,AA,LGA,MIA,-8.0,1096,-12.0,0
153,2015,1,2,5,EV,DEN,ISN,24.0,576,33.0,0
154,2015,1,2,5,AA,DFW,PSP,15.0,1126,4.0,0
155,2015,1,2,5,OO,DEN,MLI,,752,,1
156,2015,1,2,5,UA,DEN,MIA,92.0,1709,60.0,0
157,2015,1,2,5,B6,BOS,STT,-13.0,1693,-37.0,0
158,2015,1,2,5,MQ,DFW,ABI,52.0,158,67.0,0
159,2015,1,2,5,OO,ASE,DEN,1.0,125,17.0,0
160,2015,1,2,5,AA,ORD,AUS,12.0,978,9.0,0
161,2015,1,2,5,WN,TPA,AUS,0.0,928,-6.0,0
162,2015,1,2,5,OO,PHX,SBA,6.0,455,2.0,0
163,2015,1,2,5,B6,HOU,BOS,6.0,1609,-19.0,0
164,2015,1,2,5,AS,BRW,FAI,-7.0,503,-1.0,0
165,2015,1,2,5,OO,FAT,SEA,-1.0,748,-2.0,0
166,2015,1,2,5,WN,SNA,SJC,1.0,342,4.0,0
167,2015,1,2,5,WN,PHX,HOU,21.0,1020,23.0,0
168,2015,1,2,5,AS,PSP,PDX,-3.0,873,-3.0,0
169,2015,1,2,5,UA,EWR,SFO,-5.0,2565,-2.0,0
170,2015,1,2,5,EV,GSO,ATL,16.0,306,11.0,0
171,2015,1,2,5,US,FLL,PHL,25.0,992,16.0,0
172,2015,1,2,5,OO,RAP,MSP,-5.0,489,-4.0,0
173,2015,1,2,5,WN,BWI,BDL,-1.0,283,1.0,0
174,2015,1,2,5,AA,LAS,ORD,-10.0,1514,-31.0,0
175,2015,1,2,5,MQ,LEX,DFW,30.0,785,36.0,0
176,2015,1,2,5,OO,CVG,MSP,31.0,596,25.0,0
177,2015,1,2,5,OO,CPR,DEN,0.0,230,7.0,0
178,2015,1,2,5,B6,RIC,BOS,-4.0,474,-11.0,0
179,2015,1,2,5,AA,SJC,DFW,-1.0,1438,-1.0,0
180,2015,1,2,5,B6,AUS,JFK,0.0,1521,-15.0,0
181,2015,1,2,5,OO,GTF,DEN,1.0,624,-12.0,0
182,2015,1,2,5,MQ,MIA,TLH,-2.0,402,6.0,0
183,2015,1,2,5,UA,EWR,SFO,24.0,2565,15.0,0
184,2015,1,2,5,AS,PDX,LAX,0.0,834,-5.0,0
185,2015,1,2,5,OO,SLC,MSN,0.0,1174,-2.0,0
186,2015,1,2,5,EV,DTW,RDU,-2.0,501,-19.0,0
187,2015,1,2,5,WN,DAL,AMA,68.0,323,65.0,0
188,2015,1,2,5,OO,LAX,OAK,34.0,337,32.0,0
189,2015,1,2,5,WN,BUF,MDW,10.0,468,5.0,0
190,2015,1,2,5,MQ,DFW,GSP,31.0,862,37.0,0
191,2015,1,2,5,WN,MDW,MSP,3.0,349,-1.0,0
192,2015,1,2,5,OO,TUS,LAX,-10.0,451,-14.0,0
193,2015,1,2,5,UA,HNL,GUM,24.0,3801,24.0,0
194,2015,1,2,5,DL,ATL,ROC,-3.0,749,-13.0,0
195,2015,1,2,5,AS,PDX,SLC,-1.0,630,-15.0,0
196,2015,1,2,5,WN,PHX,LAS,29.0,255,29.0,0
197,2015,1,2,5,WN,PHX,SAN,14.0,304,5.0,0
198,2015,1,2,5,OO,CVG,IAH,9.0,871,37.0,0
199,2015,1,2,5,UA,SFO,JFK,9.0,2586,-5.0,0
200,2015,1,2,5,DL,DTW,MSY,-2.0,926,-11.0,0
201,2015,1,2,5,OO,DEN,SLC,44.0,391,23.0,0
202,2015,1,2,5,DL,DTW,MCO,-3.0,957,-14.0,0
203,2015,1,2,5,EV,GPT,IAH,-7.0,376,0.0,0
204,2015,1,2,5,OO,DEN,JAC,42.0,406,22.0,0
205,2015,1,2,5,AA,LGA,MIA,-6.0,1096,24.0,0
206,2015,1,2,5,B6,RIC,FLL,-11.0,805,-5.0,0
207,2015,1,2,5,NK,LGA,FLL,0.0,1076,-14.0,0
208,2015,1,2,5,EV,LAN,ORD,6.0,179,-8.0,0
209,2015,1,2,5,US,PHL,RSW,-7.0,993,-21.0,0
210,2015,1,2,5,OO,LAX,TUS,2.0,451,11.0,0
211,2015,1,2,5,UA,ORD,LGA,2.0,733,-18.0,0
212,2015,1,2,5,WN,HOU,SAT,38.0,192,40.0,0
213,2015,1,2,5,AA,MSY,DFW,44.0,447,38.0,0
214,2015,1,2,5,OO,MSP,LAX,107.0,1535,95.0,0
215,2015,1,2,5,AA,DFW,LIT,,304,,1
216,2015,1,2,5,AA,SLC,DFW,13.0,989,24.0,0
217,2015,1,2,5,DL,PBI,ATL,-6.0,545,-1.0,0
218,2015,1,2,5,DL,LGA,PBI,-2.0,1035,-13.0,0
219,2015,1,2,5,WN,PHX,BUR,10.0,369,6.0,0
220,2015,1,2,5,B6,JFK,SFO,-8.0,2586,0.0,0
221,2015,1,2,5,AS,OGG,OAK,29.0,2349,1.0,0
222,2015,1,2,5,DL,SJU,ATL,-3.0,1547,6.0,0
223,2015,1,2,5,OO,PUB,DEN,1.0,109,0.0,0
224,2015,1,2,5,EV,MHT,ORD,-10.0,843,-12.0,0
225,2015,1,2,5,WN,OAK,BUR,73.0,325,67.0,0
226,2015,1,2,5,WN,MKE,MCO,-11.0,1066,-12.0,0
227,2015,1,2,5,EV,IAD,PVD,-7.0,372,-14.0,0
228,2015,1,2,5,MQ,XNA,ORD,53.0,522,91.0,0
229,2015,1,2,5,US,PHX,BWI,95.0,1999,89.0,0
230,2015,1,2,5,US,PIT,PHX,-2.0,1814,1.0,0
231,2015,1,2,5,MQ,LGA,CMH,-5.0,479,-12.0,0
232,2015,1,2,5,OO,IAH,PSP,0.0,1269,-21.0,0
233,2015,1,2,5,OO,CLE,IAH,-5.0,1091,13.0,0
234,2015,1,2,5,US,JAX,CLT,-1.0,328,12.0,0
235,2015,1,2,5,WN,PIT,MDW,21.0,402,8.0,0
236,2015,1,2,5,DL,MKE,ATL,-5.0,669,-1.0,0
237,2015,1,2,5,UA,IAH,SLC,5.0,1195,-18.0,0
238,2015,1,2,5,EV,MKE,EWR,7.0,725,-18.0,0
239,2015,1,2,5,UA,IAH,SFO,23.0,1635,-9.0,0
240,2015,1,2,5,NK,ACY,MCO,7.0,852,14.0,0
241,2015,1,2,5,OO,MSN,ORD,-6.0,108,-12.0,0
242,2015,1,2,5,WN,SAT,HOU,2.0,192,15.0,0
243,2015,1,2,5,AS,SAT,SEA,45.0,1774,93.0,0
244,2015,1,2,5,EV,PNS,IAH,7.0,489,34.0,0
245,2015,1,2,5,WN,SMF,PDX,4.0,479,7.0,0
246,2015,1,2,5,NK,PDX,LAS,-9.0,763,-16.0,0
247,2015,1,2,5,DL,MEM,ATL,-6.0,332,17.0,0
248,2015,1,2,5,WN,MCO,DAL,62.0,973,61.0,0
249,2015,1,2,5,EV,IAH,JAX,18.0,817,37.0,0
250,2015,1,2,5,WN,LAX,MCI,31.0,1363,37.0,0
251,2015,1,2,5,WN,MDW,HOU,15.0,937,36.0,0
252,2015,1,2,5,EV,CLT,EWR,0.0,529,-11.0,0
253,2015,1,2,5,EV,GSO,IAD,-7.0,239,-21.0,0
254,2015,1,2,5,DL,ATL,BHM,1.0,134,1.0,0
255,2015,1,2,5,OO,PHX,PSP,-1.0,261,2.0,0
256,2015,1,2,5,DL,JAX,ATL,-5.0,270,11.0,0
257,2015,1,2,5,EV,DTW,MDW,-6.0,228,-23.0,0
258,2015,1,2,5,DL,DTW,BOS,-2.0,632,-26.0,0
259,2015,1,2,5,B6,MCO,PVD,77.0,1072,80.0,0
260,2015,1,2,5,MQ,DFW,MSN,36.0,821,40.0,0
261,2015,1,2,5,B6,DCA,MCO,34.0,759,25.0,0
262,2015,1,2,5,DL,ATL,MDT,0.0,620,0.0,0
263,2015,1,2,5,WN,DAL,ICT,73.0,333,69.0,0
264,2015,1,2,5,UA,SFO,IAD,-3.0,2419,-11.0,0
265,2015,1,2,5,DL,DTW,SLC,4.0,1481,-8.0,0
266,2015,1,2,5,NK,LAS,DTW,-4.0,1749,2.0,0
267,2015,1,2,5,HA,HNL,LAX,187.0,2556,163.0,0
268,2015,1,3,6,DL,SFO,MSP,-2.0,1589,-20.0,0
269,2015,1,3,6,AA,SFO,DFW,11.0,1464,30.0,0
270,2015,1,3,6,HA,HNL,KOA,-4.0,163,-1.0,0
271,2015,1,3,6,AA,DFW,MIA,-5.0,1121,3.0,0
272,2015,1,3,6,OO,IDA,DEN,-2.0,458,-10.0,0
273,2015,1,3,6,AA,SEA,DFW,0.0,1660,-17.0,0
274,2015,1,3,6,WN,DAY,BWI,-4.0,406,-4.0,0
275,2015,1,3,6,WN,DEN,STL,2.0,770,-1.0,0
276,2015,1,3,6,AA,OMA,DFW,0.0,583,22.0,0
277,2015,1,3,6,DL,RSW,ATL,-2.0,515,-15.0,0
278,2015,1,3,6,DL,SLC,MSP,-7.0,991,-30.0,0
279,2015,1,3,6,DL,JFK,ATL,2.0,760,-8.0,0
280,2015,1,3,6,MQ,TLH,DFW,1.0,767,11.0,0
281,2015,1,3,6,OO,AUS,SFO,5.0,1504,-25.0,0
282,2015,1,3,6,OO,PAH,ORD,-1.0,342,-18.0,0
283,2015,1,3,6,UA,LAS,EWR,12.0,2227,5.0,0
284,2015,1,3,6,WN,OMA,MDW,-3.0,423,-21.0,0
285,2015,1,3,6,B6,JFK,SJU,-3.0,1598,-11.0,0
286,2015,1,3,6,WN,LGA,HOU,-3.0,1428,34.0,0
287,2015,1,3,6,WN,LAS,HOU,7.0,1235,11.0,0
288,2015,1,3,6,AS,ONT,SEA,2.0,956,-2.0,0
289,2015,1,3,6,OO,RDM,SLC,-2.0,525,-20.0,0
290,2015,1,3,6,US,MCO,CLT,-1.0,468,4.0,0
291,2015,1,3,6,VX,SFO,SEA,11.0,679,10.0,0
292,2015,1,3,6,WN,MCI,LAX,1.0,1363,-22.0,0
293,2015,1,3,6,MQ,ABI,DFW,0.0,158,12.0,0
294,2015,1,3,6,EV,IAH,LCH,-5.0,127,-1.0,0
295,2015,1,3,6,OO,ORF,ORD,0.0,717,23.0,0
296,2015,1,3,6,UA,EWR,FLL,0.0,1065,-6.0,0
297,2015,1,3,6,WN,MSY,HOU,-4.0,302,12.0,0
298,2015,1,3,6,B6,JFK,RDU,-4.0,427,-12.0,0
299,2015,1,3,6,UA,FLL,DEN,2.0,1703,4.0,0
300,2015,1,3,6,AA,JFK,SFO,-1.0,2586,-29.0,0
301,2015,1,3,6,DL,MCO,BOS,-2.0,1121,-12.0,0
302,2015,1,3,6,UA,SFO,DEN,0.0,967,24.0,0
303,2015,1,3,6,AA,LAX,HNL,-6.0,2556,19.0,0
304,2015,1,3,6,UA,ORD,LAS,-1.0,1514,15.0,0
305,2015,1,3,6,DL,ATL,IAH,0.0,689,-7.0,0
306,2015,1,3,6,UA,MCO,DEN,0.0,1546,5.0,0
307,2015,1,3,6,AA,LGA,DFW,-8.0,1389,-8.0,0
308,2015,1,3,6,AA,ORD,DFW,7.0,802,24.0,0
309,2015,1,3,6,EV,EWR,SDF,-5.0,642,1.0,0
310,2015,1,3,6,DL,SLC,JFK,-1.0,1990,-13.0,0
311,2015,1,3,6,B6,HPN,PBI,9.0,1056,9.0,0
312,2015,1,3,6,OO,SLC,SJC,1.0,584,-1.0,0
313,2015,1,3,6,WN,PDX,MCI,19.0,1482,20.0,0
314,2015,1,3,6,WN,PHX,LAS,-4.0,255,-1.0,0
315,2015,1,3,6,DL,FLL,ATL,0.0,581,-7.0,0
316,2015,1,3,6,OO,DTW,CLE,2.0,95,12.0,0
317,2015,1,3,6,WN,LAX,AUS,15.0,1242,17.0,0
318,2015,1,3,6,B6,FLL,PVD,16.0,1188,13.0,0
319,2015,1,3,6,UA,SFO,RDU,3.0,2400,11.0,0
320,2015,1,3,6,WN,BOI,OAK,-3.0,511,-15.0,0
321,2015,1,3,6,WN,HOU,ATL,50.0,696,47.0,0
322,2015,1,3,6,DL,LGA,TPA,0.0,1010,-30.0,0
323,2015,1,3,6,EV,ORD,ATW,117.0,160,108.0,0
324,2015,1,3,6,OO,SAN,LAX,198.0,109,184.0,0
325,2015,1,3,6,EV,BUF,IAD,-10.0,283,-16.0,0
326,2015,1,3,6,OO,MSP,ATW,-4.0,236,-17.0,0
327,2015,1,3,6,EV,BTR,DFW,7.0,383,21.0,0
328,2015,1,3,6,WN,MDW,BUF,-7.0,468,-15.0,0
329,2015,1,3,6,WN,PHX,MDW,2.0,1444,-5.0,0
330,2015,1,3,6,WN,MCI,DAL,-4.0,460,9.0,0
331,2015,1,3,6,EV,ELP,IAH,40.0,667,43.0,0
332,2015,1,3,6,EV,DEN,BNA,6.0,1014,6.0,0
333,2015,1,3,6,EV,MSN,ATL,-4.0,707,3.0,0
334,2015,1,3,6,DL,RDU,ATL,-2.0,356,-5.0,0
335,2015,1,3,6,DL,MCO,LGA,-3.0,950,-8.0,0
336,2015,1,3,6,EV,DFW,BRO,14.0,482,28.0,0
337,2015,1,3,6,DL,ATL,JAX,-5.0,270,13.0,0
338,2015,1,3,6,DL,JFK,MIA,-2.0,1089,-9.0,0
339,2015,1,3,6,MQ,DFW,XNA,0.0,280,17.0,0
340,2015,1,3,6,NK,MSY,DTW,28.0,926,9.0,0
341,2015,1,3,6,DL,FLL,DTW,9.0,1127,-19.0,0
342,2015,1,3,6,OO,LAX,SAN,178.0,109,173.0,0
343,2015,1,3,6,AA,DFW,ORD,59.0,802,45.0,0
344,2015,1,3,6,AA,MCO,MIA,2.0,192,5.0,0
345,2015,1,3,6,DL,MCO,LGA,19.0,950,64.0,0
346,2015,1,3,6,MQ,FWA,DFW,12.0,859,23.0,0
347,2015,1,3,6,B6,FLL,DCA,-6.0,899,6.0,0
348,2015,1,3,6,MQ,AMA,DFW,89.0,312,80.0,0
349,2015,1,3,6,VX,LAX,FLL,2.0,2342,2.0,0
350,2015,1,3,6,B6,EWR,FLL,4.0,1065,2.0,0
351,2015,1,3,6,WN,DTW,MDW,-2.0,228,-9.0,0
352,2015,1,3,6,WN,MCO,BDL,21.0,1050,21.0,0
353,2015,1,3,6,OO,LAX,MTJ,-3.0,666,32.0,0
354,2015,1,3,6,OO,EUG,SFO,-12.0,451,-31.0,0
355,2015,1,3,6,EV,ATL,AGS,-1.0,143,-4.0,0
356,2015,1,3,6,OO,SLC,OKC,1.0,866,-1.0,0
357,2015,1,3,6,WN,HOU,DAL,19.0,239,8.0,0
358,2015,1,3,6,WN,MCI,LAS,33.0,1139,33.0,0
359,2015,1,3,6,DL,ATL,ICT,97.0,782,93.0,0
360,2015,1,3,6,DL,PHX,MSP,-3.0,1276,-11.0,0
361,2015,1,3,6,WN,PHX,LAX,12.0,370,42.0,0
362,2015,1,3,6,AA,FLL,DFW,10.0,1119,25.0,0
363,2015,1,3,6,US,CLT,MSP,1.0,930,-18.0,0
364,2015,1,3,6,DL,ATL,MEM,-1.0,332,-14.0,0
365,2015,1,3,6,WN,ATL,JAX,0.0,270,-14.0,0
366,2015,1,3,6,AA,LAX,MIA,,2342,,1
367,2015,1,3,6,WN,MSY,HOU,23.0,302,49.0,0
368,2015,1,3,6,EV,DEN,LBB,39.0,456,58.0,0
369,2015,1,3,6,UA,DEN,SFO,59.0,967,83.0,0
370,2015,1,3,6,B6,EWR,TPA,3.0,997,33.0,0
371,2015,1,3,6,DL,EWR,ATL,-1.0,746,-6.0,0
372,2015,1,3,6,AA,LAS,DFW,5.0,1055,6.0,0
373,2015,1,3,6,US,PHL,MCO,10.0,861,24.0,0
374,2015,1,3,6,MQ,BTR,DFW,64.0,383,96.0,0
375,2015,1,3,6,UA,SFO,DFW,-4.0,1464,-13.0,0
376,2015,1,3,6,OO,SFO,MFR,-3.0,329,-5.0,0
377,2015,1,3,6,WN,MCI,MCO,48.0,1072,48.0,0
378,2015,1,3,6,DL,LGA,DTW,-6.0,502,13.0,0
379,2015,1,3,6,EV,GRK,IAH,49.0,166,48.0,0
380,2015,1,3,6,DL,BWI,SLC,1.0,1865,-7.0,0
381,2015,1,3,6,WN,PHX,SEA,60.0,1107,56.0,0
382,2015,1,3,6,WN,LAX,SLC,47.0,590,56.0,0
383,2015,1,3,6,DL,ATL,TPA,-1.0,406,-11.0,0
384,2015,1,3,6,OO,ICT,MSP,177.0,545,206.0,0
385,2015,1,3,6,US,DCA,PHX,122.0,1979,106.0,0
386,2015,1,3,6,DL,SRQ,ATL,42.0,444,32.0,0
387,2015,1,3,6,US,FLL,CLT,-4.0,631,-8.0,0
388,2015,1,3,6,WN,DAL,STL,13.0,546,0.0,0
389,2015,1,3,6,AS,TUS,SEA,-13.0,1216,-10.0,0
390,2015,1,3,6,AS,ANC,BRW,-7.0,725,-20.0,0
391,2015,1,3,6,EV,JAN,ATL,20.0,341,25.0,0
392,2015,1,3,6,EV,DEN,TUL,28.0,541,55.0,0
